iter	Logloss
0	0.6823750356
1	0.6708174744
2	0.6607170527
3	0.6505997113
4	0.6411673981
5	0.6325541787
6	0.6245032373
7	0.6170988972
8	0.6098726846
9	0.6028669494
10	0.5967667072
11	0.5911175016
12	0.585169801
13	0.5803499641
14	0.575746479
15	0.5716695926
16	0.5674344376
17	0.5635232818
18	0.5600191914
19	0.5564228231
20	0.5527093428
21	0.5497468347
22	0.5466651093
23	0.5441790454
24	0.5414216914
25	0.5390663866
26	0.5366578778
27	0.5345121468
28	0.5324320154
29	0.5299811359
30	0.5283735442
31	0.5261211483
32	0.5239364569
33	0.5221807828
34	0.5203164679
35	0.5190563254
36	0.5177031109
37	0.5161589224
38	0.514572909
39	0.5129247806
40	0.5116966012
41	0.510496851
42	0.5090477992
43	0.507882026
44	0.5066164491
45	0.5056231887
46	0.5047184014
47	0.5035020283
48	0.5027009461
49	0.5016365104
50	0.5003836068
51	0.4995568018
52	0.498573232
53	0.4979233132
54	0.4970509491
55	0.4959458743
56	0.49491695
57	0.4942507431
58	0.493749068
59	0.4929570214
60	0.4919674128
61	0.4911968421
62	0.4901614518
63	0.4893872337
64	0.4887248823
65	0.4879526309
66	0.4873929403
67	0.4863448914
68	0.4857909684
69	0.4852700315
70	0.484491009
71	0.4839707273
72	0.4834839206
73	0.483079038
74	0.482550648
75	0.4821306641
76	0.4816672967
77	0.4811731741
78	0.480736707
79	0.4802505591
80	0.4793757074
81	0.4789981119
82	0.4785952241
83	0.478168185
84	0.4775041299
85	0.477132094
86	0.4767335436
87	0.4760118825
88	0.4754801218
89	0.4750827037
90	0.4747904765
91	0.4740780218
92	0.4736106417
93	0.4733022799
94	0.4727279062
95	0.4722439029
96	0.4717922866
97	0.4712320997
98	0.4707269718
99	0.4702253353
100	0.4694770764
101	0.4691321594
102	0.4685730558
103	0.4680858186
104	0.4674936272
105	0.4670608023
106	0.4663245055
107	0.4660428894
108	0.4657544294
109	0.4654395594
110	0.4650855232
111	0.4647535035
112	0.464484367
113	0.4639998766
114	0.4635949696
115	0.4632768058
116	0.4629862014
117	0.4627592666
118	0.4625705344
119	0.4618791768
120	0.4616661995
121	0.4614040738
122	0.4606700884
123	0.4600925174
124	0.4598691146
125	0.4593611591
126	0.4588578741
127	0.4584950348
128	0.4577451381
129	0.4572905061
130	0.4570320046
131	0.456765759
132	0.4561296924
133	0.4558477677
134	0.4554935469
135	0.4551369278
136	0.4548032371
137	0.4545227169
138	0.4542666195
139	0.4540332054
140	0.4538106125
141	0.4533258106
142	0.4530948796
143	0.4525718065
144	0.4523739043
145	0.4520147358
146	0.4511360377
147	0.4508003073
148	0.4505000121
149	0.4496195857
150	0.4494050473
151	0.4491821057
152	0.4489467675
153	0.4487856397
154	0.4484692307
155	0.44828833
156	0.447956478
157	0.4476150891
158	0.4472570493
159	0.4470694791
160	0.4467521761
161	0.4462502991
162	0.4459751579
163	0.4455408462
164	0.4447956526
165	0.444190761
166	0.4438108064
167	0.4435429507
168	0.4429610898
169	0.4426371476
170	0.4423869021
171	0.4421286838
172	0.4418660277
173	0.4416490952
174	0.4411172296
175	0.4409032744
176	0.4407711771
177	0.4405171482
178	0.4399613126
179	0.4395620199
180	0.4389745648
