iter	Passed	Remaining
0	13	13818
1	24	12018
2	31	10525
3	38	9548
4	44	8909
5	50	8383
6	56	8055
7	65	8171
8	75	8285
9	83	8299
10	92	8333
11	100	8291
12	110	8352
13	124	8739
14	135	8900
15	143	8840
16	151	8782
17	160	8739
18	170	8779
19	179	8775
20	187	8737
21	197	8799
22	206	8784
23	216	8798
24	224	8767
25	236	8843
26	246	8894
27	255	8874
28	264	8859
29	273	8837
30	282	8829
31	297	9000
32	314	9213
33	332	9437
34	341	9428
35	354	9491
36	370	9654
37	387	9808
38	399	9846
39	413	9914
40	421	9867
41	431	9842
42	439	9773
43	447	9719
44	454	9655
45	462	9594
46	470	9537
47	478	9491
48	486	9442
49	494	9391
50	501	9339
51	511	9320
52	520	9293
53	528	9259
54	536	9219
55	544	9180
56	552	9133
57	559	9085
58	567	9047
59	574	9003
60	583	8976
61	591	8943
62	599	8915
63	607	8879
64	614	8843
65	622	8811
66	630	8785
67	638	8748
68	645	8712
69	653	8681
70	661	8661
71	669	8625
72	676	8592
73	685	8572
74	693	8548
75	700	8519
76	708	8490
77	715	8460
78	723	8432
79	730	8405
80	738	8383
81	746	8360
82	754	8335
83	762	8315
84	771	8300
85	779	8282
86	787	8264
87	795	8247
88	804	8236
89	812	8211
90	820	8191
91	827	8171
92	837	8169
93	846	8157
94	854	8139
95	862	8120
96	870	8099
97	877	8077
98	885	8061
99	893	8041
100	901	8024
101	911	8021
102	918	8000
103	926	7981
104	935	7971
105	942	7952
106	950	7934
107	958	7914
108	966	7897
109	974	7885
110	982	7867
111	990	7850
112	997	7832
113	1005	7813
114	1013	7797
115	1021	7783
116	1029	7769
117	1038	7759
118	1046	7746
119	1055	7737
120	1063	7724
121	1070	7707
122	1079	7693
123	1089	7699
124	1098	7690
125	1106	7677
126	1115	7668
127	1123	7651
128	1131	7637
129	1139	7625
130	1147	7610
131	1155	7596
132	1163	7582
133	1171	7568
134	1180	7563
135	1188	7549
136	1195	7532
137	1203	7515
138	1210	7497
139	1218	7482
140	1225	7467
141	1233	7453
142	1241	7437
143	1249	7425
144	1256	7411
145	1264	7397
146	1272	7384
147	1280	7370
148	1288	7358
149	1296	7344
150	1305	7337
151	1312	7324
152	1320	7311
153	1328	7296
154	1335	7281
155	1344	7272
156	1351	7258
157	1360	7249
158	1368	7235
159	1375	7223
160	1383	7209
161	1391	7199
162	1403	7208
163	1415	7218
164	1426	7221
165	1437	7223
166	1450	7233
167	1466	7265
168	1482	7290
169	1492	7287
170	1503	7287
171	1514	7289
172	1525	7294
173	1537	7297
174	1549	7306
175	1562	7314
176	1575	7325
177	1584	7317
178	1592	7306
179	1601	7296
180	1610	7285
181	1619	7276
182	1628	7272
183	1637	7261
184	1646	7252
185	1655	7245
186	1663	7232
187	1671	7220
188	1679	7208
189	1687	7195
190	1695	7182
191	1703	7170
192	1711	7156
193	1719	7144
194	1728	7135
195	1736	7124
196	1745	7113
197	1752	7100
198	1759	7082
199	1765	7063
200	1772	7046
201	1780	7031
202	1786	7012
203	1792	6992
204	1798	6974
205	1805	6957
206	1811	6939
207	1817	6919
208	1823	6902
209	1830	6884
210	1836	6868
211	1843	6851
212	1849	6833
213	1855	6815
214	1862	6799
215	1868	6781
216	1875	6767
217	1881	6750
218	1889	6737
219	1896	6723
220	1904	6711
221	1911	6698
222	1919	6686
223	1928	6681
224	1937	6673
225	1946	6666
226	1955	6657
227	1963	6648
228	1971	6637
229	1979	6626
230	1987	6617
231	2031	6723
232	2044	6729
233	2056	6731
234	2079	6768
235	2099	6796
236	2126	6846
237	2138	6846
238	2146	6833
239	2156	6828
240	2163	6814
241	2171	6800
242	2179	6789
243	2187	6778
244	2197	6772
245	2206	6763
246	2216	6758
247	2224	6746
248	2233	6737
249	2247	6741
250	2258	6739
251	2268	6733
252	2276	6721
253	2284	6710
254	2292	6698
255	2300	6687
256	2308	6675
257	2317	6666
258	2325	6654
259	2333	6642
260	2343	6634
261	2351	6623
262	2360	6614
263	2368	6603
264	2376	6591
265	2384	6580
266	2392	6568
267	2400	6555
268	2411	6552
269	2419	6541
270	2427	6528
271	2436	6521
272	2444	6510
273	2452	6499
274	2460	6487
275	2470	6480
276	2478	6469
277	2486	6459
278	2494	6447
279	2502	6435
280	2510	6424
281	2519	6413
282	2526	6402
283	2535	6392
284	2544	6382
285	2552	6371
286	2560	6360
287	2568	6350
288	2577	6340
289	2585	6329
290	2595	6323
291	2604	6315
292	2612	6303
293	2619	6291
294	2627	6278
295	2633	6263
296	2642	6253
297	2648	6238
298	2655	6224
299	2661	6209
300	2667	6194
301	2673	6179
302	2680	6166
303	2686	6150
304	2692	6135
305	2698	6121
306	2705	6107
307	2711	6092
308	2718	6078
309	2724	6063
310	2730	6048
311	2736	6033
312	2743	6021
313	2751	6012
314	2761	6004
315	2769	5995
316	2777	5985
317	2784	5971
318	2791	5958
319	2797	5944
320	2803	5930
321	2810	5918
322	2816	5903
323	2823	5891
324	2830	5878
325	2836	5864
326	2843	5851
327	2849	5838
328	2855	5824
329	2861	5810
330	2868	5797
331	2874	5783
332	2880	5769
333	2886	5755
334	2892	5741
335	2898	5728
336	2904	5714
337	2910	5700
338	2916	5687
339	2923	5674
340	2929	5661
341	2935	5647
